unit,specialty,clinic_id,demand,eff_cap,booked,providers,util,wait,no_show,appt_min,alpha,wait_check,patient_weeks,wait_days_total
Behavioral health @ CLN-01,Behavioral health,CLN-01,49.7231,75.5458,87.1846,2.0,0.6582,4.2538,0.2389,50.0,1.9716,4.2538,49.7231,211.5143
Behavioral health @ CLN-02,Behavioral health,CLN-02,61.7923,76.8804,88.4077,2.0,0.8037,4.8108,0.2361,50.0,-0.0434,4.8108,61.7923,297.2685
Behavioral health @ CLN-03,Behavioral health,CLN-03,82.3538,86.5565,87.3769,2.0,0.9514,27.3915,0.2403,50.0,4.1655,27.3915,82.3538,2255.7985
Behavioral health @ CLN-04,Behavioral health,CLN-04,33.0769,37.9125,43.4231,1.0,0.8725,13.3477,0.2364,50.0,5.2402,13.3477,33.0769,441.5006
Cardiology @ CLN-01,Cardiology,CLN-01,38.4077,43.2463,45.7615,1.0,0.8881,18.6623,0.1116,30.0,9.254,18.6623,38.4077,716.7762
Cardiology @ CLN-02,Cardiology,CLN-02,63.8846,87.22,94.3462,2.0,0.7325,3.8654,0.1119,30.0,0.6205,3.8654,63.8846,246.9386
Cardiology @ CLN-03,Cardiology,CLN-03,115.9385,129.3046,137.8538,3.0,0.8966,19.4177,0.1184,30.0,9.1367,19.4177,115.9385,2251.2574
Cardiology @ CLN-04,Cardiology,CLN-04,112.2846,129.988,138.7462,3.0,0.8638,18.9608,0.1164,30.0,11.4432,18.9608,112.2846,2129.0027
Dermatology @ CLN-01,Dermatology,CLN-01,124.1769,155.9409,173.1308,3.0,0.7963,12.8692,0.1626,20.0,8.2356,12.8692,124.1769,1598.0615
Dermatology @ CLN-02,Dermatology,CLN-02,34.2615,53.0326,58.6923,1.0,0.646,6.5723,0.1577,20.0,4.4089,6.5723,34.2615,225.1774
Dermatology @ CLN-03,Dermatology,CLN-03,100.0923,110.3086,117.5769,2.0,0.9074,26.0585,0.1551,20.0,14.4461,26.0585,100.0923,2608.2516
Endocrinology @ CLN-01,Endocrinology,CLN-01,24.2308,34.1083,37.8769,1.0,0.7104,4.3208,0.1588,35.0,1.4132,4.3208,24.2308,104.6956
Endocrinology @ CLN-02,Endocrinology,CLN-02,76.6769,103.2525,114.0462,3.0,0.7426,7.0123,0.1556,35.0,3.5926,7.0123,76.6769,537.6822
Gastroenterology @ CLN-01,Gastroenterology,CLN-01,73.5154,76.9534,80.0154,2.0,0.9553,31.6646,0.1226,35.0,6.3203,31.6646,73.5154,2327.8364
Gastroenterology @ CLN-03,Gastroenterology,CLN-03,27.6462,35.9106,39.0846,1.0,0.7699,5.2577,0.1239,35.0,1.2927,5.2577,27.6462,145.355
Gastroenterology @ CLN-04,Gastroenterology,CLN-04,63.6,108.193,118.5308,3.0,0.5878,2.0469,0.1322,35.0,0.3565,2.0469,63.6,130.1843
Neurology @ CLN-03,Neurology,CLN-03,81.6846,95.5307,103.0,3.0,0.8551,18.0438,0.1501,45.0,11.0514,18.0438,81.6846,1473.9046
Neurology @ CLN-04,Neurology,CLN-04,56.5462,63.1215,67.1462,2.0,0.8958,15.3169,0.1403,45.0,5.124,15.3169,56.5462,866.1131
Orthopedics @ CLN-01,Orthopedics,CLN-01,155.2077,163.9087,171.4,4.0,0.9469,24.5723,0.13,35.0,3.4298,24.5723,155.2077,3813.8112
Orthopedics @ CLN-02,Orthopedics,CLN-02,81.6154,85.6087,83.8385,2.0,0.9534,31.9538,0.1315,35.0,7.7295,31.9538,81.6154,2607.9254
Orthopedics @ CLN-03,Orthopedics,CLN-03,108.7462,154.4133,168.9077,4.0,0.7043,3.7615,0.1318,35.0,0.9391,3.7615,108.7462,409.0528
Orthopedics @ CLN-04,Orthopedics,CLN-04,32.5308,39.1607,42.0538,1.0,0.8307,13.3777,0.1219,35.0,7.562,13.3777,32.5308,435.1866
Primary care @ CLN-01,Primary care,CLN-01,578.0538,654.1461,694.3077,10.0,0.8837,23.7223,0.1197,20.0,14.7182,23.7223,578.0538,13712.7712
Primary care @ CLN-02,Primary care,CLN-02,192.0846,259.8007,281.6692,4.0,0.7394,5.7523,0.1141,20.0,2.3902,5.7523,192.0846,1104.9298
Primary care @ CLN-03,Primary care,CLN-03,178.3462,258.9346,281.8462,4.0,0.6888,4.0969,0.1236,20.0,1.4739,4.0969,178.3462,730.6705
Primary care @ CLN-04,Primary care,CLN-04,198.9,256.0048,278.7923,4.0,0.7769,11.5031,0.128,20.0,7.3747,11.5031,198.9,2287.962
