week,week_start,specialty,clinic_id,providers,booked_slots,effective_capacity,demand,utilisation,avg_wait_days,no_show_rate,cancel_rate,appt_minutes
0,2025-03-03,Cardiology,CLN-01,1,42.3,38.9,34.5,0.8852,13.08,0.1085,0.1076,30
1,2025-03-10,Cardiology,CLN-01,1,49.1,44.8,36.7,0.8176,8.74,0.1317,0.097,30
2,2025-03-17,Cardiology,CLN-01,1,47.1,43.1,29.5,0.6844,9.64,0.1326,0.0868,30
3,2025-03-24,Cardiology,CLN-01,1,47.2,44.3,22.0,0.4966,7.2,0.0869,0.0823,30
4,2025-03-31,Cardiology,CLN-01,1,45.6,42.2,32.5,0.7717,6.53,0.1109,0.0921,30
5,2025-04-07,Cardiology,CLN-01,1,40.0,37.1,29.5,0.7971,6.26,0.1108,0.0806,30
6,2025-04-14,Cardiology,CLN-01,1,45.2,41.7,29.8,0.7143,3.18,0.1063,0.1021,30
7,2025-04-21,Cardiology,CLN-01,1,45.6,42.4,34.5,0.8138,10.7,0.1142,0.0689,30
8,2025-04-28,Cardiology,CLN-01,1,46.0,43.2,33.6,0.7783,8.46,0.0868,0.0758,30
9,2025-05-05,Cardiology,CLN-01,1,51.0,46.8,36.2,0.7746,11.82,0.1304,0.0854,30
10,2025-05-12,Cardiology,CLN-01,1,47.0,43.4,40.5,0.9327,19.72,0.1122,0.0915,30
11,2025-05-19,Cardiology,CLN-01,1,47.6,44.3,34.2,0.7719,8.14,0.1024,0.0861,30
12,2025-05-26,Cardiology,CLN-01,1,51.6,47.7,37.1,0.7772,7.56,0.1065,0.1012,30
13,2025-06-02,Cardiology,CLN-01,1,48.8,45.0,39.9,0.8854,8.7,0.1161,0.0928,30
14,2025-06-09,Cardiology,CLN-01,1,48.5,45.5,39.6,0.8696,10.01,0.0957,0.067,30
15,2025-06-16,Cardiology,CLN-01,1,46.2,42.8,33.5,0.7824,8.65,0.0921,0.117,30
16,2025-06-23,Cardiology,CLN-01,1,46.1,42.6,38.9,0.9121,17.21,0.1133,0.0865,30
17,2025-06-30,Cardiology,CLN-01,1,44.6,40.5,38.2,0.9431,24.17,0.1408,0.0967,30
18,2025-07-07,Cardiology,CLN-01,1,48.0,43.8,36.7,0.8372,7.25,0.1402,0.0889,30
19,2025-07-14,Cardiology,CLN-01,1,45.7,42.5,31.9,0.7505,6.52,0.105,0.079,30
20,2025-07-21,Cardiology,CLN-01,1,45.3,41.7,41.9,0.965,39.26,0.118,0.0926,30
21,2025-07-28,Cardiology,CLN-01,1,46.6,43.6,33.6,0.77,9.11,0.1008,0.0679,30
22,2025-08-04,Cardiology,CLN-01,1,46.8,43.5,37.1,0.8541,12.46,0.1081,0.0814,30
23,2025-08-11,Cardiology,CLN-01,1,47.1,43.2,39.2,0.9068,12.79,0.1282,0.0862,30
24,2025-08-18,Cardiology,CLN-01,1,44.6,41.3,34.8,0.8417,8.6,0.1069,0.0871,30
25,2025-08-25,Cardiology,CLN-01,1,47.6,44.1,36.3,0.8243,6.42,0.124,0.0643,30
26,2025-09-01,Cardiology,CLN-01,1,46.0,43.0,34.3,0.7979,8.46,0.1038,0.0683,30
